customers
id,name,email,phone,city
1,Jan Paweł II,karol@watykan.org,213-769-420,Wadowice

orders
id,customer_id,product_id,date,amount,status
1,1,1,2023-06-01,2137.0,Zrealizowane
2,2,2,2023-06-02,499.99,W realizacji
3,3,3,2023-06-03,1299.99,Dostarczone
4,4,4,2023-06-04,899.99,Anulowane
5,5,5,2023-06-05,399.99,Zwrócone

products
id,name,category,price,stock
1,Smartfon XYZ,Elektronika,2137.0,15
2,Laptop GamePro,Elektronika,4999.99,8
3,Tablet ArtPad,Elektronika,1299.99,20
4,Monitor UltraHD,Elektronika,1499.99,12
5,Drukarka LaserPro,Biuro,399.99,25

suppliers
id,name,contact,address,email
1,TechPro Sp. z o.o.,info@techpro.pl,"ul. Innowacyjna 1, Warszawa",zakupy@techpro.pl
2,GadgetMasters S.A.,kontakt@gadgetmasters.pl,"Al. Cyfrowa 10, Kraków",zamowienia@gadgetmasters.pl
3,ElektroGalaktyka Sp.k.,biuro@elektrogalaktyka.pl,"ul. Elektroniczna 25, Wrocław",zakupy@elektrogalaktyka.pl
4,CyberTech Sp. z o.o.,info@cybertech.pl,"ul. Bitowa 12, Gdańsk",zamowienia@cybertech.pl
5,PrintExpert S.A.,kontakt@printexpert.pl,"Al. Drukarska 5, Poznań",zakupy@printexpert.pl

